timestamp_ms,price,sources,spread
1775418089179,67335.04,3,4.71
1775418090054,67335.07,3,4.71
1775418090181,67335.07,3,4.71
1775418091056,67334.74,3,5.71
1775418091181,67334.74,3,5.71
1775418092058,67334.74,3,5.71
1775418092182,67334.74,3,5.71
1775418093065,67334.74,3,5.71
1775418093182,67334.74,3,5.71
1775418094076,67334.74,3,5.71
1775418094185,67334.74,3,5.71
1775418095079,67334.74,3,5.71
1775418095186,67334.74,3,5.71
1775418096080,67334.73,3,5.7
1775418096186,67334.73,3,5.7
1775418097083,67334.77,3,5.6
1775418097187,67334.77,3,5.6
1775418098085,67334.73,3,5.6
1775418098187,67334.73,3,5.6
1775418099088,67334.74,3,5.61
1775418099191,67334.74,3,5.61
1775418100089,67334.77,3,5.61
1775418100192,67334.77,3,5.61
1775418101091,67335.1,3,4.6
1775418101194,67335.1,3,4.6
1775418102093,67335.07,3,4.6
1775418102195,67335.07,3,4.6
1775418103096,67335.07,3,4.61
1775418103198,67335.07,3,4.61
1775418104097,67335.07,3,4.61
1775418104199,67335.07,3,4.61
1775418105097,67335.07,3,4.61
1775418105201,67335.6,3,3.01
1775418106100,67335.6,3,3.01
1775418106202,67335.6,3,3.01
1775418107101,67335.6,3,3.0
1775418107203,67335.6,3,3.0
1775418108104,67335.6,3,3.01
1775418108204,67335.6,3,3.01
1775418109106,67335.64,3,2.91
1775418109205,67335.64,3,2.91
1775418110108,67326.94,3,5.02
1775418110208,67326.94,3,5.02
1775418111111,67322.48,3,6.0
1775418111218,67322.48,3,6.0
1775418112113,67322.47,3,6.0
1775418112220,67322.47,3,6.0
1775418113114,67322.48,3,6.0
1775418113222,67322.48,3,6.0
1775418114117,67322.51,3,5.9
1775418114223,67322.51,3,5.9
1775418115119,67322.51,3,5.9
1775418115226,67322.51,3,5.9
1775418116121,67322.48,3,6.0
1775418116227,67322.48,3,6.0
1775418117128,67322.48,3,6.0
1775418117229,67322.48,3,6.0
1775418118131,67322.47,3,6.0
1775418118232,67322.47,3,6.0
1775418119132,67322.51,3,5.9
1775418119234,67322.51,3,5.9
1775418120134,67322.51,3,5.9
1775418120235,67322.51,3,5.9
1775418121135,67322.51,3,5.9
1775418121237,67322.51,3,5.9
1775418122138,67324.97,3,1.49
1775418122239,67324.97,3,1.49
1775418123140,67324.94,3,1.38
1775418123240,67324.94,3,1.38
1775418124141,67324.94,3,1.38
1775418124240,67324.94,3,1.38
1775418125143,67324.94,3,1.39
1775418125242,67324.94,3,1.39
1775418126145,67324.94,3,1.39
1775418126244,67324.94,3,1.39
1775418127146,67324.94,3,1.38
1775418127246,67324.94,3,1.38
1775418128147,67324.97,3,1.49
1775418128248,67324.97,3,1.49
1775418129148,67324.97,3,1.49
1775418129251,67324.97,3,1.49
1775418130151,67324.97,3,1.49
1775418130252,67324.97,3,1.49
1775418131151,67324.94,3,1.39
1775418131254,67324.94,3,1.39
1775418132154,67324.94,3,1.39
1775418132255,67324.94,3,1.39
1775418133154,67324.94,3,1.38
1775418133257,67324.94,3,1.38
1775418134156,67324.94,3,1.38
1775418134258,67324.94,3,1.38
1775418135158,67324.94,3,1.39
1775418135262,67324.94,3,1.39
1775418136160,67324.94,3,1.38
1775418136264,67324.94,3,1.38
1775418137163,67324.94,3,1.39
1775418137265,67324.94,3,1.39
1775418138164,67324.97,3,1.48
1775418138268,67324.97,3,1.48
1775418139167,67324.97,3,1.48
1775418139269,67324.97,3,1.48
1775418140167,67324.97,3,1.48
1775418140271,67324.97,3,1.48
1775418141169,67324.97,3,1.48
1775418141272,67324.97,3,1.48
1775418142171,67324.97,3,1.48
1775418142273,67324.97,3,1.48
1775418143173,67324.94,3,1.38
1775418143275,67324.94,3,1.38
1775418144176,67324.94,3,1.38
1775418144277,67324.94,3,1.38
1775418145177,67324.67,3,0.78
1775418145279,67322.31,3,6.9
1775418146179,67314.37,3,6.9
1775418146281,67314.37,3,6.9
1775418147182,67314.34,3,7.0
1775418147283,67314.34,3,7.0
1775418148184,67314.37,3,7.1
1775418148285,67314.37,3,7.1
1775418149185,67314.37,3,7.1
1775418149288,67314.37,3,7.1
1775418150188,67314.37,3,7.1
1775418150290,67314.37,3,7.1
1775418151190,67314.37,3,7.1
1775418151292,67314.37,3,7.1
1775418152192,67314.34,3,7.0
1775418152294,67314.34,3,7.0
1775418153195,67314.34,3,7.0
1775418153294,67314.34,3,7.0
1775418154197,67314.33,3,7.0
1775418154297,67314.33,3,7.0
1775418155198,67314.33,3,7.0
